unique_id,expect_path,old_compact,new_compact,source_folder
0333__s12_STAGE12_tensor_advanced2__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0333__s12_STAGE12_tensor_advanced2__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0262_0333__s12_STAGE12_tensor_advanced2__uxm_tests_native_test14_branch_current_zero__475660ecab
0334__s12_STAGE12_tensor_advanced2__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0334__s12_STAGE12_tensor_advanced2__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0263_0334__s12_STAGE12_tensor_advanced2__uxm_tests_native_test15_branch_nonzero__264c6a7d20
0379__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0379__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0303_0379__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0387__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0387__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0307_0387__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
0388__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0388__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0308_0388__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0389__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0389__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0309_0389__s12_STAGE12_tensor_advanced2__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0431__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_rowops_det__ffb4dafd1c,uxm/tests/all_expected_known/0431__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_rowops_det__ffb4dafd1c.expect,#mode:compact#exit_code:0#source:sibling_expect-2,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0338_0431__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_rowops_det__ffb4dafd1c
0432__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_solve_then_matvec__9b84c8e909,uxm/tests/all_expected_known/0432__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_solve_then_matvec__9b84c8e909.expect,#mode:compact#exit_code:0#source:sibling_expect31,36,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0339_0432__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_integration_solve_then_matvec__9b84c8e909
0439__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_inverse_nxn__9a523d865f,uxm/tests/all_expected_known/0439__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_inverse_nxn__9a523d865f.expect,#mode:compact#exit_code:0#source:sibling_expect11,22,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0346_0439__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_inverse_nxn__9a523d865f
0444__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_solve_nxn__617ee60b8f,uxm/tests/all_expected_known/0444__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_solve_nxn__617ee60b8f.expect,#mode:compact#exit_code:0#source:sibling_expect15,16,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0351_0444__s14_STAGE14_linalg_advanced__uxm_tests_v33_stage14_test_s14_linalg_solve_nxn__617ee60b8f
